role;starting_salary;starting_salary_hr_yr;year_starting_salary;ending_salary 1;ending_salary_hr_yr;Hourly(H)_Permanent(P)_Contingent(C);year_ending_salary;years_experience;gender;ethnicity;degrees_required
Writer;50000;yr;2018;50000;yr;P;;15;female;white;BA
Assistant;37000;yr;2018;37000;yr;P;2019;5;female;mixed;BA
Manager;18;hr;2017;47000;yr;P Full Time;2018;6;n/a;N;N
Coordinator;49000;yr;2016;50400;yr;P;2019;10;female;poc;BA
Manager;45000;yr;2012;47000;yr;n/a;2014;4;n/a;N;BA
Assistant Director;45000;yr;2013;50000;yr;n/a;2018;5;female;latino;MA
Manager;35000;yr;2012;80000;yr;P;2019;7;n/a;N;N
other;31000;yr;2017;35000;yr;P;2019;4;n/a;N;N
other;175000;yr;2018;180000;yr;P;2019;15;female;white;MA
Admin;45000;yr;2019;45000;yr;P;2019;3;n/a;N;N
Editor;30000;yr;2018;32000;yr;P;2019;2;female;white;BA
Manager;58000;yr;2015;58000;yr;P;2018;15;n/a;N;N
Manager;28000;yr;2016;40000;yr;P;;;other;white;N
Manager;14;hr;2013;20;hr;H;2019;6;female;white;N
Editor;42;hr;2017;48;hr;H;2019;10;female;white;N
Manager;;;N;70000;yr;n/a;;;n/a;N;N
Assistant Curator;80000;yr;N;80000;yr;P;2019;;female;mixed;PhD
Manager;38000;yr;2008;58000;yr;P;2019;10;male;white;BA
Assistant Registrar;54000;yr;2017;55000;yr;H;2019;10;female;N;N
Assistant Curator;62000;yr;2018;62000;yr;H,P;2019;3;other;black;BA
other;39000;yr;2011;49430;yr;H,P;2019;15;female;white;BA
Registrar;22,5;hr;N;;N;P;;;n/a;N;N
Assistant;21;hr;2017;23,5;hr;C;2019;2;n/a;white;BA
Assistant Curator;30000;yr;2018;49000;yr;n/a;2019;5;female;white;MA
Assistant Curator;40000;yr;2019;40000;yr;n/a;2019;0;male;white;MA
Assistant;38400;yr;2017;50000;yr;H,P;2019;3;female;N;N
Writer;;;N;65000;yr;n/a;2019;10;male;white;MA
Assistant;50000;yr;2017;60000;yr;P;2019;6;n/a;N;N
Assistant;32000;yr;2018;38000;yr;P;2019;4;male;white;N
Art Handler;50000;yr;2013;75000;yr;P;2019;20;n/a;N;N
Designer;75000;yr;2018;77400;yr;P;2019;4;female;white;BA
Assistant;42000;yr;2018;42000;yr;P;2019;1;female;asian;BA
Education;18,15;hr;2018;18,15;hr;H;;;n/a;N;BA
Education;18,15;hr;2018;18,15;hr;H;;;n/a;N;BA
Manager;32000;yr;2015;52000;yr;P;2019;4;n/a;N;N
Writer;;;N;58500;yr;n/a;2019;;n/a;N;N
Communications;46583;yr;2018;46,583;yr;P;2019;4;other;white;BA
Gallery Assistant;18;hr;2016;18;hr;H;2017;6;female;white;BA
Admin;47250;yr;2017;50000;yr;P;2019;6;female;white;N
Designer;45000;yr;2010;59000;yr;P;2019;9;female;white;BA
Assistant Curator;;;N;59000;yr;P;2019;;n/a;N;N
other;27000;yr;2013;69000;yr;P;2019;20;other;white;MA
Conservator;80000;yr;2013;90000;yr;P;2019;20;n/a;N;MA
Technical;50000;yr;2018;65000;yr;P;2019;2;n/a;N;MA
Director;105000;yr;2012;120000;yr;n/a;2019;40;female;white;No degree
Assistant Curator;50000;yr;2017;60000;yr;P;2019;10;female;white;MA
Designer;;;N;66000;yr;P;2018;5;n/a;N;BA
Communications;70000;yr;2016;83000;yr;H Full Time;2019;8;female;white;N
Assistant;45000;yr;2018;;N;P;;6;female;white;BA
Assistant Curator;49920;yr;2017;54985,84;yr;P;2019;5;female;white;BA
Education;60000;yr;2017;63000;yr;P;2019;7;female;white;No degree
Manager;35500;yr;2016;35500;yr;P;2016;8;female;white;MA
Registrar;12,5;hr;2016;18;hr;n/a;;;n/a;N;N
Assistant Curator;;;N;30000;yr;P;2019;5;other;black;BA
Education;9;hr;2014;10;hr;H;2019;2;n/a;N;HS
Director;22000;yr;1998;26000;yr;P;2000;3;n/a;white;BA
Manager;31200;yr;2012;35759,88;yr;H,P;2019;9;female;white;BA
Assistant Registrar;40000;yr;2019;;N;H;2019;5;female;white;BA required MA preferred
Registrar;45000;yr;2019;45000;yr;P;2019;3;female;latino;BA
Archivist;15;hr;2017;26;hr;C;2019;4;other;white;MLIS
Gallery Assistant;15;hr;2011;32;hr;P;2012;1;female;N;BA
Registrar;62500;yr;2019;62500;yr;P;2019;10;female;N;N
Curator;50000;yr;N;50000;yr;C;2019;12;female;poc;PhD
Visitor Experience;;;N;12;hr;H;2019;4;n/a;N;N
Manager;47500;yr;2016;55000;yr;P;2019;6;female;white;MA
Manager;47500;yr;2015;50000;yr;n/a;2019;17;female;N;MA
Registrar;24;hr;2018;24;hr;H;2019;2;female;white;N
Archivist;52000;yr;2018;52000;yr;P;2019;5;female;white;MLIS
Designer;40000;yr;2019;40000;yr;n/a;2019;1;n/a;N;N
Communications;40000;yr;2019;40000;yr;P;2019;3;n/a;N;BA
Director;70000;yr;2019;;N;P;2019;12;n/a;N;MA
Assistant;30000;yr;2015;40000;yr;P;2019;4;female;white;N
Director;80000;yr;N;;N;P;2016;;n/a;N;N
Manager;37500;yr;2014;39000;yr;P;2019;10;female;white;No degree
Manager;37000;yr;2016;46000;yr;P;2019;7;female;white;BA
Curator;28000;yr;2014;37000;yr;H;2019;10;female;white;MA
Visitor Experience;12,5;hr;2017;13,77;hr;H;2019;2;female;latino;N
Communications;;;N;60000;yr;P;2019;10;female;white;BA required MA preferred
Coordinator;36000;yr;2017;38600;yr;P;2019;5;female;white;BA required MA preferred
Director;25200;yr;2019;25200;yr;C;2019;2;female;white;BA
Director;20;hr;2017;21;hr;H;2019;12;female;white;MA
Visitor Experience;12;hr;2018;12;hr;H;2019;2;female;white;No degree
Assistant;6,95;hr;N;6,95;hr;H;2007;1;female;white;N
Director;56275;yr;N;57682;yr;P;;;n/a;N;MA
Manager;65000;yr;2016;73000;yr;P;2019;11;male;white;BA
Communications;41000;yr;2016;49000;yr;P;2019;9;female;N;BA required MA preferred
Manager;51000;yr;2019;;N;P;2019;1;female;white;MA
Assistant Director;30000;yr;2014;47000;yr;P;2017;6;female;white;BA
Director;37000;yr;2017;37000;yr;H;2019;8;female;white;BA
Photographer;36000;yr;2018;38000;yr;P;;7;other;N;BA
Manager;;;N;;N;H;2019;6;female;white;N
Manager;32000;yr;2017;39220;yr;P;2019;4;female;white;N
Intern;2400;yr;2019;N;yr;unpaid;2019;1;n/a;white;BA
Curator;40000;yr;2015;52000;yr;n/a;2019;5;female;white;MA
Communications;50000;yr;2017;52000;yr;P;2019;5;female;white;BA
Assistant Curator;10;hr;2019;10;hr;C;2019;15;female;white;N
Coordinator;40000;yr;2011;35000;yr;P;2019;12;female;mixed;MA
Director;100000;yr;2019;100000;yr;P;2019;17;male;N;MA
Assistant Director;28000;yr;2011;49000;yr;P;2019;15;female;white;MA
Admin;12;hr;2017;12;hr;H;2019;3;n/a;N;N
Photographer;28000;yr;2018;28000;yr;P;2019;6;female;white;MA
Designer;37000;yr;2015;40000;yr;H;2019;15;female;poc;N
Curator;32880;yr;2017;38850;yr;H,P;2019;7;female;white;No degree
Curator;90;hr;2006;140;hr;H;2019;16;female;N;MA
Assistant;60000;yr;2017;65000;yr;H;2019;3;n/a;N;N
Archivist;18;hr;2018;18;hr;H,C;2018;6;female;white;BA
Registrar;42000;yr;2017;43500;yr;P;2019;5;other;white;BA
Registrar;60000;yr;2011;75432;yr;n/a;2019;10;female;white;MA
Manager;43000;yr;2014;57000;yr;P;2018;16;male;white;BA
Curator;44900;yr;2019;44900;yr;H;2019;4;female;poc;No degree
Director;42500;yr;2007;54950;yr;P;2019;20;male;white;MA
Director;65000;yr;2019;65000;yr;P;2019;16;female;white;MA
Coordinator;16;hr;2013;16,87;hr;H;2019;6;female;N;MA
Director;18000;yr;2019;18000;yr;H;2019;6;female;white;BA
Conservator;34500;yr;2016;35535;yr;H,P;2019;10;male;white;MA
Manager;50000;yr;2017;51500;yr;P;2019;5;female;white;BA
Coordinator;33000;yr;2014;44000;yr;H,P;2019;7;female;white;BA required MA preferred
Manager;68000;yr;2018;68000;yr;P;2019;2;female;white;BA required MA preferred
Director;38000;yr;2019;38000;yr;P;2019;0;female;white;BA
Manager;;;N;50000;yr;P;2019;2;female;white;N
Coordinator;17;hr;2015;19;hr;H;2019;4;female;white;BA
Manager;51000;yr;2018;52200;yr;P;2019;7;female;white;BA
Director;80000;yr;2016;90000;yr;P;2019;20;male;white;PhD
Director;68000;yr;2019;68000;yr;P;2019;10;n/a;N;MA
Curator;32000;yr;2019;32000;yr;P;2019;2;female;white;MA
Educator;20;hr;2016;N;yr;H;2017;4;female;white;BA
Writer;70000;yr;2018;70000;yr;P;2019;10;female;white;MA
Manager;36750;yr;2015;39500;yr;H,P;2019;16;n/a;N;BA
Intern;20;hr;2019;20;hr;H,C;2019;2;male;white;BA
Communications;65000;yr;2018;67000;yr;P;2019;5;female;mixed;N
Visitor Experience;31000;yr;2018;35000;yr;P;2019;2;female;white;BA
Registrar;18;hr;2016;19,78;hr;H;2019;4;male;white;BA
Coordinator;21850;yr;2018;21850;yr;n/a;2019;5;female;white;MA
Curator;25000;yr;1990;102600;yr;P;2019;29;n/a;N;N
Academic;50000;yr;N;;N;C;2019;;female;N;PhD
Coordinator;46000;yr;2019;46000;yr;H,P;2019;1;female;white;N
Curator;15000;yr;2011;15000;yr;C Part Time;2019;;female;white;BA
other;60000;yr;N;82000;yr;P;2018;;female;white;N
Technical;41330;yr;2015;51718;yr;P;2019;12;female;white;MLIS
Education;72000;yr;2015;83326;yr;P;2019;9;female;N;N
Director;90000;yr;2018;90000;yr;P;2019;15;female;N;N
Manager;40000;yr;2019;40000;yr;P;2019;6;female;N;N
Manager;12;hr;2015;15;hr;P;2015;2;female;N;N
Librarian;64000;yr;2016;75000;yr;P;2019;12;female;N;MLIS
Admin;14;hr;2018;15,5;hr;H;2019;5;female;white;MA
Coordinator;48000;yr;2017;54000;yr;n/a;2019;4;female;white;N
Assistant Curator;27000;yr;2012;40000;yr;P;2019;7;female;white;MA
Assistant Curator;30000;yr;2017;35000;yr;P;2019;3;female;white;BA required MA preferred
Manager;26000;yr;2013;17,14;hr;H,P;2019;6;female;N;N
Gallery Assistant;15;hr;2018;15;hr;P;2019;;female;white;BA
Assistant Director;15;hr;2006;26,4;hr;H,P;2019;13;female;white;BA
Editor;52000;yr;2001;N;yr;n/a;2018;17;n/a;N;MA
Assistant;35000;yr;2018;35000;yr;P;2019;1;female;white;N
Archivist;40000;yr;2015;65000;yr;P;2019;;female;white;BA
Gallery Assistant;15;hr;2017;20;hr;H;2018;;female;poc;N
Archivist;65000;yr;2018;65000;yr;P;2019;5;female;white;MLIS
Archivist;60000;yr;2018;60000;yr;P;2019;4;n/a;N;N
Assistant;45000;yr;2017;52000;yr;P;2019;5;female;white;BA
Assistant Director;18;hr;2017;25;hr;H;2019;4;female;white;N
Assistant Curator;12;hr;2013;28;hr;H,P;2018;5;female;white;BA
Writer;52000;yr;2018;57000;yr;C;2019;3;n/a;N;BA
Manager;65000;yr;2015;72000;yr;P;2019;25;female;N;MA
Manager;38000;yr;2014;54000;yr;P;2019;7;n/a;N;BA
Director;10000;yr;N;10000;yr;C;2019;5;female;white;MA
Registrar;41000;yr;2016;43074,6;yr;P;2019;6;female;white;BA
Assistant Director;17;hr;2014;47000;yr;P;2019;3;n/a;N;N
Assistant Director;17;hr;2014;47000;yr;P;2019;3;n/a;N;N
Visitor Experience;39000;yr;2019;39000;yr;P;2019;2;n/a;N;N
Curator;28000;yr;2014;40000;yr;P;2019;8;male;white;MA
Coordinator;48500;yr;2019;;N;P;2019;10;male;white;BA required MA preferred
Manager;68000;yr;2015;70040;yr;P;2016;5;female;white;BA
Director;65000;yr;2016;68500;yr;P;2019;12;male;black;BA
Manager;30000;yr;2015;40000;yr;P;2019;5;female;white;BA
Curator;52000;yr;2015;60000;yr;n/a;2019;10;female;white;MA
Coordinator;40000;yr;2017;42000;yr;n/a;;5;female;white;N
Coordinator;36000;yr;2014;42000;yr;P;2019;16;female;white;BA required MA preferred
Director;30000;yr;2018;30000;yr;P;2019;3;male;white;BA required MA preferred
Director;38000;yr;2013;60000;yr;P;2019;11;female;white;MA
Director;32000;yr;2017;32000;yr;P;2019;10;female;white;BA
Archivist;15;yr;2016;17;hr;P Full Time;2019;5;female;white;MA
Manager;50000;yr;2018;;N;P;2019;15;male;N;MA
other;39000;yr;2017;411375;yr;C;2017;8;male;white;BA required MA preferred
Manager;42000;yr;2014;54590;yr;P;2019;7;female;white;MA
other;38000;yr;2018;;N;P;;3;female;white;N
Coordinator;31400;yr;2018;36400;yr;H;2019;6;female;white;BA required MA preferred
Assistant Curator;9;hr;2007;25;hr;H,P;2019;14;female;N;MA
Manager;45000;yr;2018;46350;yr;P;2019;13;n/a;N;BA required MA preferred
Education;25000;yr;2013;48 000;yr;n/a;2019;12;female;white;MA
Director;56000;yr;N;60000;yr;P Full Time;2019;12;female;N;MA
Manager;39500;yr;2015;42000;yr;P;2018;5;n/a;N;BA required MA preferred
Manager;40000;yr;2018;40000;yr;P;2019;15;female;white;MA
Conservator;58000;yr;2018;58000;yr;P;2019;3;female;white;MA
Assistant Director;43000;yr;2019;43000;yr;P;2019;5;male;white;MA
Editor;34099;yr;2013;50000;yr;P;2019;12;female;white;MA
Curator;20000;yr;2016;25000;yr;H;2019;8;female;white;MA
Manager;32000;yr;2015;35000;yr;H;2019;4;female;white;BA
Coordinator;37000;yr;2017;40789;yr;n/a;2019;11;female;white;BA
Archivist;36000;yr;2013;42960;yr;P;2019;8;female;white;BA
Curator;25350;yr;2017;30914;yr;H;2019;2;female;white;MA
Assistant;14;hr;N;;N;n/a;2019;2;n/a;N;MA
Director;37000;yr;2019;37000;yr;P;2019;10;female;white;BA required MA preferred
Registrar;36000;yr;2017;38000;yr;P Full Time;2019;5;n/a;N;BA required MA preferred
Director;50000;yr;2017;54000;yr;n/a;2019;8;female;N;MA
Communications;;;2003;90000;yr;P;2019;15;female;white;MA
Director;55000;yr;2018;55000;yr;P;2019;13;female;white;MA
Assistant Curator;40000;yr;2018;40000;yr;P;;1;female;white;BA
Manager;65000;yr;2018;70000;yr;P;2019;4;n/a;N;N
Coordinator;45000;yr;2015;48000;yr;P;2018;0;n/a;N;N
Writer;38000;yr;2012;45000;yr;P;2014;1;female;white;BA
Manager;48000;yr;2015;;N;P;2015;4;female;white;BA
Assistant;16,5;hr;2019;16,5;hr;P;2019;5;n/a;N;BA
Curator;32000;yr;2013;50000;yr;P;2019;8;n/a;N;N
Curator;41000;yr;2018;2019;yr;P;;5;female;white;BA
Coordinator;38000;yr;2019;;N;P;2019;2;other;white;BA
Director;35000;yr;2016;50000;yr;P;2019;8;female;white;BA required MA preferred
Designer;50000;yr;2017;53000;yr;n/a;2019;2;female;white;MA
Manager;35000;yr;2016;36000;yr;P;2019;6;n/a;N;BA required MA preferred
Director;65000;yr;2018;80000;yr;P;2019;12;female;latino;MA
Coordinator;24960;yr;2017;27040;yr;H;2019;3;female;asian;BA
Curator;48000;yr;2018;49440;yr;P;2019;9;male;white;MA
Manager;30000;yr;2011;42000;yr;n/a;;8;n/a;N;N
Curator;52000;yr;2013;58000;yr;P Full Time;2019;20;female;white;MA
Manager;40000;yr;2017;40000;yr;P;2019;10;female;white;BA required MA preferred
Assistant;20;hr;2018;N;yr;H;2019;6;female;white;BA
Education;9;hr;2013;12,5;hr;H;2017;9;female;white;BA
